"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"pdlgc-contact-portabilite","pdlgc-contact-portabilite.Agenda","pdlgc-contact-portabilite.Agenda","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Agenda {[]} {[]}
","Lien vers la classe Agenda","Lien vers la classe Agenda","","","","","","","","","",,,,,"",,,,"Contact.Agenda",0,*,"",""
"pdlgc-contact-portabilite","pdlgc-contact-portabilite.RendezVous","pdlgc-contact-portabilite.RendezVous","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/RendezVous {[]} {[]}
","Lien vers la classe RendezVous","Lien vers la classe RendezVous","","","","","","","","","",,,,,"",,,,"Contact.RendezVous",0,*,"",""
"pdlgc-documentation","pdlgc-documentation","pdlgc-documentation","","","",0,*,"","","","null {[]} {[]}
","Documentation d'export permettant au fournisseur destinataire d'intégrer les données LGC du fournisseur sortant","Documentation d'export permettant au fournisseur destinataire d'intégrer les données LGC du fournisseur sortant","Transaction ExportArchivePortabilite","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"pdlgc-documentation","pdlgc-documentation.documents","pdlgc-documentation.documents","","","",1,*,"","","","https://interop.esante.gouv.fr/ig/mos/StructureDefinition/Document {[]} {[]}
","Documents permettant au fournisseur destinataire d'interpréter et d'intégrer les données (dictionnaire de données, mapping, dictionnaire de terminologies propriétaures, jeu d'échantillons)","Documents permettant au fournisseur destinataire d'interpréter et d'intégrer les données (dictionnaire de données, mapping, dictionnaire de terminologies propriétaures, jeu d'échantillons)","","","","","","","","","",,,,,"",,,,"pdlgc-documentation.documents",1,*,"",""
"pdlgc-fournisseur-sortant","pdlgc-fournisseur-sortant","pdlgc-fournisseur-sortant","","","",0,*,"","","","null {[]} {[]}
","PDLGC Fournisseur Sortant","PDLGC Fournisseur Sortant","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"pdlgc-fournisseur-sortant","pdlgc-fournisseur-sortant.numFINESS","pdlgc-fournisseur-sortant.numFINESS","","","",0,1,"","","","Identifier {[]} {[]}
","Identifiant FINESS de l'entité juridique attribué lors de sa création.Les personnes morales identifiées par des numéros FINESS sont également dotées de numéros Siren.  Le numéro FINESS étant porteur intrinsèquement de liens avec le domaine sanitaire ou le domaine médico-social, il est, s'il existe, à privilégier pour l’identification de ces personnes morales en tant qu’acteurs sanitaires et médico-sociaux (Référentiel d’identification des acteurs sanitaires et médico-sociaux - Politique Générale de Sécurité des Systèmes d’Information de Santé (PGSSI-S)).Le numéro FINESS est composé de 9 caractères numériques, tels que:** Position 1-2 : numéro du département d'implantation (""2A"", ""2B"" pour la Corse; ""97"" pour les départements d’Outre-mer; ""98"" pour Mayotte);** Position 3 : ""0"";** Position 4-8: ""1"" pour Guadeloupe, ""2"" pour Martinique, ""3"" pour Guyane, ""4"" pour Réunion, ""5"" pour Saint-Pierre-et-Miquelon + numéro d'ordre de 4 chiffres;** Position 4-8 : numéro d’ordre de 5 chiffres pour tous les autres départements;** Position 9 : clé de Luhn calculée automatiquement.","Identifiant FINESS de l'entité juridique attribué lors de sa création.Les personnes morales identifiées par des numéros FINESS sont également dotées de numéros Siren.  Le numéro FINESS étant porteur intrinsèquement de liens avec le domaine sanitaire ou le domaine médico-social, il est, s'il existe, à privilégier pour l’identification de ces personnes morales en tant qu’acteurs sanitaires et médico-sociaux (Référentiel d’identification des acteurs sanitaires et médico-sociaux - Politique Générale de Sécurité des Systèmes d’Information de Santé (PGSSI-S)).Le numéro FINESS est composé de 9 caractères numériques, tels que:** Position 1-2 : numéro du département d'implantation (""2A"", ""2B"" pour la Corse; ""97"" pour les départements d’Outre-mer; ""98"" pour Mayotte);** Position 3 : ""0"";** Position 4-8: ""1"" pour Guadeloupe, ""2"" pour Martinique, ""3"" pour Guyane, ""4"" pour Réunion, ""5"" pour Saint-Pierre-et-Miquelon + numéro d'ordre de 4 chiffres;** Position 4-8 : numéro d’ordre de 5 chiffres pour tous les autres départements;** Position 9 : clé de Luhn calculée automatiquement.","","","","","","","","","",,,,,"",,,,"EntiteJuridique.numFINESS",0,1,"",""
"pdlgc-fournisseur-sortant","pdlgc-fournisseur-sortant.numSiren","pdlgc-fournisseur-sortant.numSiren","","","",0,1,"","","","Identifier {[]} {[]}
","Le numéro Siren est le numéro unique d'identification attribué à chaque entreprise ou organisme par l'INSEE.C'est un simple numéro d'ordre, composé de neuf chiffres:     ** huit chiffres non significatifs (excepté pour les organismes publics où celui-ci commence obligatoirement par 1 ou 2) complétés par une clé de Luhn.Il n'a aucun lien avec les caractéristiques de l'entreprise ou de l'organisme. Il est attribué une seule fois et n'est supprimé du répertoire qu'au moment de la disparition de la personne juridique (décès ou cessation de toute activité pour un entrepreneur individuel, dissolution pour une personne juridique).","Le numéro Siren est le numéro unique d'identification attribué à chaque entreprise ou organisme par l'INSEE.C'est un simple numéro d'ordre, composé de neuf chiffres:     ** huit chiffres non significatifs (excepté pour les organismes publics où celui-ci commence obligatoirement par 1 ou 2) complétés par une clé de Luhn.Il n'a aucun lien avec les caractéristiques de l'entreprise ou de l'organisme. Il est attribué une seule fois et n'est supprimé du répertoire qu'au moment de la disparition de la personne juridique (décès ou cessation de toute activité pour un entrepreneur individuel, dissolution pour une personne juridique).","","","","","","","","","",,,,,"",,,,"EntiteJuridique.numSiren",0,1,"",""
"pdlgc-fournisseur-sortant","pdlgc-fournisseur-sortant.idNatStruct","pdlgc-fournisseur-sortant.idNatStruct","","","",1,1,"Y","","","Identifier {[]} {[]}
","Identification nationale de l'Entité juridique initiée pour les besoins du SI-CPS.Cette identification est obtenue par la concaténation du type d'identifiant national de structure (provenant de la nomenclature CodeSystem-TRE-G07-TypeIdentifiantStructure) et de l'identifiant de la structure:** 1 + N° FINESS (entité juridique et entité géographique indéterminées);** 2 + N° Siren.Cas particulier:La notion d’identifiant d'entité juridique n'a pas de sens métier pour un cabinet individuel ou un cabinet de groupe identifié par un RPPS-Rang ou un ADELI-rang (cf. Attribut IdentifiantEG de la classe EntiteGeographique). Si un cas d'usage nécessite d'appliquer la notion générique d'entité juridique et d'entité géographique pour un cabinet individuel ou un cabinet de groupe, alors l'identifiant de l'entité juridique est constitué de la façon suivante: ** pour le cabinet d’un PS ADELI : 0 + IdentifiantEJ;** pour le cabinet d’un PS RPPS : 4 + IdentifiantEJ. Synonyme : Struct_IdNat (CI-SIS)","Identification nationale de l'Entité juridique initiée pour les besoins du SI-CPS.Cette identification est obtenue par la concaténation du type d'identifiant national de structure (provenant de la nomenclature CodeSystem-TRE-G07-TypeIdentifiantStructure) et de l'identifiant de la structure:** 1 + N° FINESS (entité juridique et entité géographique indéterminées);** 2 + N° Siren.Cas particulier:La notion d’identifiant d'entité juridique n'a pas de sens métier pour un cabinet individuel ou un cabinet de groupe identifié par un RPPS-Rang ou un ADELI-rang (cf. Attribut IdentifiantEG de la classe EntiteGeographique). Si un cas d'usage nécessite d'appliquer la notion générique d'entité juridique et d'entité géographique pour un cabinet individuel ou un cabinet de groupe, alors l'identifiant de l'entité juridique est constitué de la façon suivante: ** pour le cabinet d’un PS ADELI : 0 + IdentifiantEJ;** pour le cabinet d’un PS RPPS : 4 + IdentifiantEJ. Synonyme : Struct_IdNat (CI-SIS)","","","","","","","","","",,,,,"",,,,"EntiteJuridique.idNatStruct",0,1,"",""
"pdlgc-fournisseur-sortant","pdlgc-fournisseur-sortant.identifiantEJ","pdlgc-fournisseur-sortant.identifiantEJ","","","",0,1,"","","","Identifier {[]} {[]}
","Identifiant spécifique de l’entité juridique d’un cabinet individuel ou d’un cabinet de groupe dont l’entité géographique est identifiée par l’attribut identifiantEG. Cet identifiant concerne les entités juridiques qui ne sont pas identifiées par un numéro SIREN mais qui sont présentes dans le RPPS ou ADELI. Pour information, cet identifiant est construit en reprenant l’identifiantEG précédé des caractère « EJ » (cf. Attribut IdentifiantEG  de la classe EntiteGeographique).Synonyme : numEJ_RPPS_ADELI","Identifiant spécifique de l’entité juridique d’un cabinet individuel ou d’un cabinet de groupe dont l’entité géographique est identifiée par l’attribut identifiantEG. Cet identifiant concerne les entités juridiques qui ne sont pas identifiées par un numéro SIREN mais qui sont présentes dans le RPPS ou ADELI. Pour information, cet identifiant est construit en reprenant l’identifiantEG précédé des caractère « EJ » (cf. Attribut IdentifiantEG  de la classe EntiteGeographique).Synonyme : numEJ_RPPS_ADELI","","","","","","","","","",,,,,"",,,,"EntiteJuridique.identifiantEJ",0,1,"",""
"pdlgc-fournisseur-sortant","pdlgc-fournisseur-sortant.typeIdNatStruct","pdlgc-fournisseur-sortant.typeIdNatStruct","","","",0,1,"","","","Coding {[]} {[]}
","Type d’identifiant national de la structure.","Type d’identifiant national de la structure.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_G07-TypeIdentifiantStructure/FHIR/TRE-G07-TypeIdentifiantStructure?vs","",,,,"EntiteJuridique.typeIdNatStruct",0,1,"",""
"pdlgc-fournisseur-sortant","pdlgc-fournisseur-sortant.numeroTVAIntracommunautaire","pdlgc-fournisseur-sortant.numeroTVAIntracommunautaire","","","",0,1,"","","","Identifier {[]} {[]}
","Le numéro de TVA intracommunautaire est un numéro d'identification individuel.Il est délivré par l'administration fiscale du pays de domiciliation de l'entreprise concernée au moment de son immatriculation ou de sa déclaration d'activité.La structure du numéro est propre à chaque pays.En France, le numéro est constitué du code FR, d'une clé informatique à 2 chiffres ou lettres et du numéro Siren de l'entreprise (9 chiffres).","Le numéro de TVA intracommunautaire est un numéro d'identification individuel.Il est délivré par l'administration fiscale du pays de domiciliation de l'entreprise concernée au moment de son immatriculation ou de sa déclaration d'activité.La structure du numéro est propre à chaque pays.En France, le numéro est constitué du code FR, d'une clé informatique à 2 chiffres ou lettres et du numéro Siren de l'entreprise (9 chiffres).","","","","","","","","","",,,,,"",,,,"EntiteJuridique.numeroTVAIntracommunautaire",0,1,"",""
"pdlgc-fournisseur-sortant","pdlgc-fournisseur-sortant.numeroSRN","pdlgc-fournisseur-sortant.numeroSRN","","","",0,*,"","","","Identifier {[]} {[]}
","Numéro d'enregistrement unique (Single Registration Number - SRN) de l’acteur EUDAMED. Un acteur est un opérateur économique dont le rôle vis-à-vis du dispositif médical est enregistré dans la base de données EUDAMED : **MF : Fabricant**AR : Mandataire**IM : Importateur **PR :  AssembleurCe numéro est construit sur la base du numéro de tva intracommunautaire.","Numéro d'enregistrement unique (Single Registration Number - SRN) de l’acteur EUDAMED. Un acteur est un opérateur économique dont le rôle vis-à-vis du dispositif médical est enregistré dans la base de données EUDAMED : **MF : Fabricant**AR : Mandataire**IM : Importateur **PR :  AssembleurCe numéro est construit sur la base du numéro de tva intracommunautaire.","","","","","","","","","",,,,,"",,,,"EntiteJuridique.numeroSRN",0,*,"",""
